attack,n_windows,n_flagged,detected,latency_s,flag_reasons
port-scan,0,0,False,,
ip-scan,1,0,False,,
mitm,1,0,False,,
port-scan,0,0,False,,
mitm,2,0,False,,
ip-scan,0,0,False,,
port-scan,0,0,False,,
ip-scan,1,1,True,2.5,C1
replay,2,0,False,,
port-scan,0,0,False,,
mitm,2,0,False,,
replay,2,0,False,,
ip-scan,0,0,False,,
ip-scan,0,0,False,,
port-scan,1,0,False,,
ip-scan,0,0,False,,
ip-scan,0,0,False,,
ip-scan,0,0,False,,
mitm,1,0,False,,
ip-scan,0,0,False,,
ip-scan,0,0,False,,
replay,3,2,True,0.9,"C1, C1+C4"
ddos,2,1,True,18.8,C4
ip-scan,0,0,False,,
mitm,1,1,True,12.5,C1
replay,3,1,True,35.0,C4
port-scan,0,0,False,,
port-scan,1,0,False,,
port-scan,0,0,False,,
port-scan,1,0,False,,
replay,2,0,False,,
ip-scan,0,0,False,,
port-scan,1,0,False,,
mitm,1,0,False,,
ip-scan,0,0,False,,
port-scan,0,0,False,,
ip-scan,1,0,False,,
replay,2,0,False,,
mitm,1,1,True,19.7,C1
ddos,2,1,True,37.4,C1
mitm,2,2,True,6.5,"C1, C1+C3"
port-scan,0,0,False,,
ip-scan,0,0,False,,
mitm,1,0,False,,
mitm,2,1,True,2.2,C1
ddos,2,2,True,20.4,"C1, C4"
ip-scan,0,0,False,,
replay,2,0,False,,
ip-scan,0,0,False,,
mitm,2,0,False,,
ddos,2,1,True,24.7,C4
port-scan,0,0,False,,
ddos,2,0,False,,
ip-scan,0,0,False,,
ip-scan,1,0,False,,
ip-scan,0,0,False,,
ip-scan,0,0,False,,
port-scan,0,0,False,,
port-scan,1,0,False,,
replay,2,0,False,,
ddos,3,1,True,31.5,C4
mitm,1,1,True,29.8,C1
mitm,1,0,False,,
ddos,2,1,True,9.7,C4
port-scan,1,0,False,,
ddos,2,1,True,16.0,C4
ip-scan,0,0,False,,
mitm,1,0,False,,
port-scan,1,0,False,,
ip-scan,0,0,False,,
port-scan,1,1,True,13.7,C1
ip-scan,0,0,False,,
mitm,1,0,False,,
mitm,1,1,True,16.8,C1
