attack,elapsed_start,elapsed_end,duration_s,detected,n_alerts,latency_s,alert_types
port-scan,3662.4,3679.6,17.2,True,5,3.77,cross_layer
ip-scan,3709.6,3714.6,5.0,True,1,0.98,cross_layer
mitm,3744.6,3782.4,37.8,True,16,1.97,cross_layer
port-scan,3812.5,3830.0,17.5,True,8,1.51,cross_layer
mitm,3860.0,3897.6,37.6,True,16,7.05,cross_layer
ip-scan,3927.6,3932.0,4.4,True,1,3.36,cross_layer
port-scan,3962.0,3980.5,18.5,True,4,1.93,cross_layer
ip-scan,4010.5,4014.3,3.8,True,2,1.87,cross_layer
replay,4044.3,4111.0,66.7,True,19,1.25,cross_layer
port-scan,4141.0,4156.4,15.4,True,3,4.95,cross_layer
mitm,4186.4,4223.5,37.1,True,19,0.53,"cross_layer, variance_collapse"
replay,4253.6,4320.1,66.5,True,32,3.65,cross_layer
ip-scan,4350.1,4354.1,4.0,True,2,0.66,cross_layer
ip-scan,4384.1,4388.2,4.1,True,1,0.09,cross_layer
port-scan,4418.2,4433.8,15.6,True,3,10.13,cross_layer
ip-scan,4463.9,4468.2,4.4,False,0,,
ip-scan,4498.2,4502.4,4.2,True,2,1.95,cross_layer
ip-scan,4532.5,4536.9,4.5,True,2,2.54,cross_layer
mitm,4567.0,4603.8,36.8,True,11,1.01,cross_layer
ip-scan,4633.8,4638.1,4.2,True,2,1.34,cross_layer
ip-scan,4668.1,4672.0,4.0,True,1,0.47,cross_layer
replay,4702.1,4769.1,67.0,True,30,2.32,cross_layer
ddos,4804.2,4865.8,61.6,True,25,0.64,"cross_layer, variance_collapse"
ip-scan,4895.8,4900.4,4.6,True,2,0.16,cross_layer
mitm,4930.5,4967.9,37.5,True,6,0.72,cross_layer
replay,4998.0,5065.4,67.5,True,21,4.04,cross_layer
port-scan,5095.5,5110.4,14.9,True,6,1.49,cross_layer
port-scan,5140.4,5156.6,16.2,True,2,5.32,cross_layer
port-scan,5186.7,5201.8,15.1,True,5,2.9,cross_layer
port-scan,5231.8,5248.3,16.4,False,0,,
replay,5278.3,5346.0,67.7,True,16,2.5,cross_layer
ip-scan,5376.0,5380.4,4.4,False,0,,
port-scan,5410.4,5426.5,16.1,True,2,4.99,variance_collapse
mitm,5456.6,5493.2,36.7,True,18,1.61,cross_layer
ip-scan,5523.2,5527.0,3.8,False,0,,
port-scan,5557.1,5571.6,14.6,True,2,5.13,cross_layer
ip-scan,5601.7,5605.8,4.1,True,1,0.91,cross_layer
replay,5635.8,5703.3,67.5,True,10,21.74,cross_layer
mitm,5733.3,5770.6,37.3,True,11,1.83,cross_layer
ddos,5805.6,5866.5,60.8,True,17,2.88,cross_layer
mitm,5896.5,5933.7,37.2,True,16,1.87,cross_layer
port-scan,5963.7,5979.7,16.0,True,10,0.7,"cross_layer, variance_collapse"
ip-scan,6009.8,6013.8,4.0,True,2,0.78,cross_layer
mitm,6043.8,6080.8,36.9,True,9,2.33,cross_layer
mitm,6110.8,6147.6,36.8,True,18,1.15,cross_layer
ddos,6182.6,6241.8,59.2,True,23,3.78,cross_layer
ip-scan,6271.8,6275.7,3.8,False,0,,
replay,6305.7,6372.2,66.6,True,19,1.08,"cross_layer, variance_collapse"
ip-scan,6402.3,6406.5,4.2,True,2,1.49,cross_layer
mitm,6436.5,6473.3,36.7,True,15,3.03,"cross_layer, variance_collapse"
ddos,6508.3,6567.0,58.7,True,13,0.27,"cross_layer, variance_collapse"
port-scan,6597.0,6611.4,14.4,True,3,1.59,cross_layer
ddos,6646.5,6707.5,61.1,True,17,0.54,cross_layer
ip-scan,6737.5,6741.6,4.1,True,1,0.46,cross_layer
ip-scan,6771.7,6775.6,3.9,True,1,1.51,cross_layer
ip-scan,6805.6,6809.6,4.0,True,1,3.38,cross_layer
ip-scan,6839.6,6844.0,4.4,True,1,0.76,cross_layer
port-scan,6874.0,6891.8,17.8,True,4,2.16,cross_layer
port-scan,6921.8,6938.5,16.7,True,2,4.56,cross_layer
replay,6968.5,7036.4,67.9,True,25,3.27,cross_layer
ddos,7071.5,7133.2,61.8,True,19,1.55,cross_layer
mitm,7163.2,7201.2,38.0,True,2,3.17,cross_layer
mitm,7231.2,7268.3,37.0,True,17,0.73,cross_layer
ddos,7303.3,7365.0,61.7,True,33,1.08,cross_layer
port-scan,7395.1,7411.9,16.9,True,8,2.35,cross_layer
ddos,7447.0,7509.0,62.0,True,17,1.23,cross_layer
ip-scan,7539.0,7543.4,4.4,True,1,2.14,cross_layer
mitm,7573.4,7610.6,37.2,True,19,3.55,cross_layer
port-scan,7640.6,7654.8,14.1,True,5,0.57,cross_layer
ip-scan,7684.8,7689.3,4.5,True,1,0.99,cross_layer
port-scan,7719.3,7734.4,15.1,True,4,3.04,cross_layer
ip-scan,7764.5,7768.7,4.2,True,1,3.56,cross_layer
mitm,7798.7,7836.2,37.5,True,18,0.09,cross_layer
mitm,7866.2,7903.5,37.3,True,8,0.14,cross_layer
